Id,Title,ShowAuthor,Description,TypeId,Downloads,Browses,IsRecommend,CreateTime,Name
0008D1F8-D6A6-4E90-BC5C-2BFE9174CA5F,全国2014年第49周房地产市场周报.pdf,NULL,NULL,78,0,0,0,2016-12-27 13:02:54.800,贺俊华
000a6290-b5bd-41a2-ad1f-6711342a0b61,建筑工程概预算定额与工程量清单计价实例应用手册.pdf,,,111,0,3,0,2017-03-13 16:29:32.827,贺俊华
000A9D14-6CA5-4728-A976-D1DBE32AE275,jjf_lx1001.doc,NULL,NULL,105,0,3,0,2016-12-27 14:59:55.360,贺俊华
000B3CCB-D5CC-49EE-8DCF-12DF8D2CEA5A,资产评估准则——无形资产2008孟亚伟上传.docx,NULL,NULL,150,0,4,0,2016-12-28 11:50:07.730,贺俊华
000D2501-2C32-456F-99CD-0E0AC44093A3,华侨城片区最近三级市场楼盘报价表.doc-银行.doc,NULL,NULL,78,0,0,0,2016-12-27 12:59:18.110,贺俊华
000EEDAA-ADCB-4095-AEEE-E2CE7D061DD7,ExcelModLandReport4.xls,NULL,NULL,136,0,0,0,2016-12-27 12:55:10.747,贺俊华
0013657F-6C7E-4A58-9584-341EA8B949AB,20050910_小镇社区配套设施开发时序的共通规.ppt,NULL,NULL,94,0,0,0,2016-12-27 14:47:26.743,贺俊华
00146FA5-0E56-4A81-A8FA-1B149EC24646,龙岗区人才住房租售管理实施细则.pdf,NULL,NULL,136,0,0,0,2016-12-27 12:54:54.680,贺俊华
00153C9D-BBDD-48C2-A0BA-84CE77E6C6D0,FT-03-福田区_石厦商圈（刘西湘、涂思雷）.ppt,NULL,NULL,79,0,0,0,2016-12-27 13:38:21.607,贺俊华
0017FDB2-F4EA-42DB-89C1-1A7039D49058,2006 2005年广东省房地产市场年终回顾及2006年展望 裴赟.pdf,NULL,NULL,109,0,1,0,2016-12-27 15:03:08.490,贺俊华
001B4BCE-EAD4-4B34-88F8-5C45005D51E7,土地利用规划编制技术导则（国土资厅发[2017]26号）.doc,NULL,NULL,71,0,0,0,2017-09-30 14:33:43.623,贺俊华
